Organisatie;Synoniem 1;Synoniem 2;Synoniem 3
Politie;;;
Dienst Justitiële Inrichtingen;DJI;;
Raad voor de Rechtspraak;Rvdr;;
Centraal Orgaan opvang asielzoekers ;Centraal Bureau COA;COA;
Immigratie- en Naturalisatiedienst ;Immigratie- en Naturalisatiedienst;IND;
Stichting Reclassering Nederland ;Reclassering Nederland;SRN;
Centraal Justitieel Incasso Bureau ;Centraal Justitieel Incassobureau;CJIB;
Nederlands Forensisch Instituut ;Nederlands Forensisch Instituut;NFI;
Stichting Verslavingsreclassering ;Stichting Verslavingsreclassering GGZ;GGZ;
Stichting Nidos;Nidos;;
Instituut Fysieke Veiligheid ;Instituut Fysieke Veiligheid (IFV);IFV;
Stichting Slachtofferhulp Nederland ;Stichting Slachtofferhulp Nederland;SHN;
Stichting het Juridisch Loket;Het Juridisch Loket;;
Raad voor Rechtsbijstand;Raad voor de rechtsbijstand ;RvR;
Autoriteit persoonsgegevens;Autoriteit Persoonsgegevens ;AP;
Veiligheidsregio;;;
Onderzoeksraad voor Veiligheid ;Onderzoeksraad voor Veiligheid;OVV;
Stichting HALT;HALT;;
Internationale Organisatie voor Migratie ;International Organization For Migration IOM;IOM;
Bureau Financieel Toezicht ;BFT;;
Stichting Centrum voor Criminaliteitsbestrijding en Veiligheid ;Stichting Centrum voor Criminaliteitspreventie en Veiligheid;CCV;
Justitiële Informatiedienst ;Justitiele Informatiedienst (JustID);Justid;
Stichting Advisering Bestuursrechtspraak;Stichting Advisering Bestuursrechtspraak (STAB);Stichting Advisering Bestuursrechtspraak voor Milieu en Ruimtelijke Ordening ;StAB
Dienst Justis;Justitiële Uitvoeringsdienst Toetsing, Integriteit, Screening ;Justis;
Landelijk Bureau Inning Onderhoudsbijdragen ;Landelijk Bureau Inning Onderhouds-;LBIO;
Politieacademie;Politieacademie ;PA;
Stichting Coördinatiecentrum Mensenhandel ;Stichting CoMensha;CoMensha;
Stichting Perspectief Herstelbemiddeling ;Stichting Perspectief Herstelbemiddeling;St. PH;
Kansspelautoriteit;Ksa;;
College van Toezicht Auteursrechten;College van toezicht auteurs- en naburige rechten ;CvTA;
Stichting Centrum Internationale Kinderontvoering;Stichting Centrum Internationale Kinderontvoering ;CIK;
Stichting Expertisebureau Online Kindermisbruik;Stichting Expertisebureau Online Kindermisbruik ;EOKM;
Wetenschappelijk onderzoeks- en documentatiecentrum ;WODC;;
Openbaar Ministerie;OM;;
Stichting Maatschappelijke Alliantie Nederland;Stichting Maatschappelijke Alliantie;;
Hoge Raad;;;
Dienst Terugkeer en Vertrek ;DTV;;
Landelijk Informatie en Expertise centrum;LIEC;;
Regionale Informatie en expertise centra;RIEC;;
Raad voor de Kinderbescherming ;Raad voor Kinderbescherming;;
Adviescommissie voor Vreemdelingenzaken ;Adviescommissie Vreemdelingenzaken ;;
Adviescommissie voor burgerlijk procesrecht ;Adviescommissie burgerlijk procesrecht ;;
Adviescommissie vennootschapsrecht ;;;
Adviescommissie auteursrecht ;;;
Nationaal Cyber Security Centrum ;NCSC;;
Stichting Adoptievoorzieningen ;;;
Nederlandse Orde van Advocaten m;NOA;;
Nationaal Rapporteur Mensenhandel en Seksueel geweld tegen kinderen;;;
Inspectie JenV;Inspectie Justitie en Veiligheid;Inspectie J&V;
Particuliere forensisch psychiatrische centra ;;;
Justitiële ICT organisatie;;;
College voor de Rechten van de Mens ;;;
Schadefonds Geweldsmisdrijven ;;;
Nederlands Register Gerechtelijk Deskundigen ;;;
Particuliere jeugdinrichtingen ;;;
Het Keurmerkinstituut BV;Keurmerkinstituut BV;;
Stichting Arbeidsmarkt en Opleidingsfonds Politie ;;;
Voogdijraad BES ;;;
Stichting Aanpak Financieel-Economische Criminaliteit in Nederland ;Aanpak Financieel-Economische Criminaliteit in Nederland ;FEC;SAFECIN
Stichting Expertisecentrum Forensische Psychiatrie ;Expertisecentrum Forensische Psychiatrie ;;
Koninklijke Notari�le Beroepsorganisatie ;;;
Koninklijke Beroepsorganisatie van Gerechtsdeurwaarders ;;;
Raad voor de Strafrechtstoepassing en Jeugdbescherming ;Raad voor Strafrechtstoepassing en Jeugdbescherming ;;
Bureau Adviescommissie Verloftoetsing tbs-gestelden ;;;
Landelijke adviescommissie plaatsing longstay Forensische Zorg ;;;
Adviescommissie voor aangelegenheden betreffende burgerlijke staat en nationaliteit ;;;
Commissie van toezicht bescherming persoonsgegevens Bonaire Eustatius en Saba ;;;
Rijksdienst Caribisch Nederland;;;
Vereniging VluchtelingenWerk Nederland;;;
Dienst Vervoer en Ondersteuning;DV&O;;
Stichting Meld Misdaad Anoniem;;;
Stichting Fiom;;;
Leger des Heils Jeugdbescherming & Reclassering;Leger des Heils Jeugdbescherming en Reclassering;Leger des Heils;LJR
